frequency table
clock speed = 1843200.0
frequency: 20 hz, coarse = 16, fine = 1664
frequency: 21 hz, coarse = 16, fine = 1390
frequency: 22 hz, coarse = 16, fine = 1140
frequency: 23 hz, coarse = 16, fine = 913
frequency: 24 hz, coarse = 16, fine = 704
frequency: 25 hz, coarse = 16, fine = 512
frequency: 26 hz, coarse = 16, fine = 335
frequency: 27 hz, coarse = 16, fine = 171
frequency: 28 hz, coarse = 16, fine = 18
frequency: 29 hz, coarse = 15, fine = 132
frequency: 30 hz, coarse = 15, fine = 0
frequency: 31 hz, coarse = 14, fine = 132
frequency: 32 hz, coarse = 14, fine = 16
frequency: 33 hz, coarse = 13, fine = 163
frequency: 34 hz, coarse = 13, fine = 60
frequency: 35 hz, coarse = 12, fine = 219
frequency: 36 hz, coarse = 12, fine = 128
frequency: 37 hz, coarse = 12, fine = 42
frequency: 38 hz, coarse = 11, fine = 216
frequency: 39 hz, coarse = 11, fine = 138
frequency: 40 hz, coarse = 11, fine = 64
frequency: 41 hz, coarse = 10, fine = 250
frequency: 42 hz, coarse = 10, fine = 183
frequency: 43 hz, coarse = 10, fine = 119
frequency: 44 hz, coarse = 10, fine = 58
frequency: 45 hz, coarse = 10, fine = 0
frequency: 46 hz, coarse = 9, fine = 200
frequency: 47 hz, coarse = 9, fine = 147
frequency: 48 hz, coarse = 9, fine = 96
frequency: 49 hz, coarse = 9, fine = 47
frequency: 50 hz, coarse = 9, fine = 0
frequency: 51 hz, coarse = 8, fine = 211
frequency: 52 hz, coarse = 8, fine = 167
frequency: 53 hz, coarse = 8, fine = 126
frequency: 54 hz, coarse = 8, fine = 85
frequency: 55 hz, coarse = 8, fine = 47
frequency: 56 hz, coarse = 8, fine = 9
frequency: 57 hz, coarse = 7, fine = 229
frequency: 58 hz, coarse = 7, fine = 194
frequency: 59 hz, coarse = 7, fine = 161
frequency: 60 hz, coarse = 7, fine = 128
frequency: 61 hz, coarse = 7, fine = 97
frequency: 62 hz, coarse = 7, fine = 66
frequency: 63 hz, coarse = 7, fine = 37
frequency: 64 hz, coarse = 7, fine = 8
frequency: 65 hz, coarse = 6, fine = 236
frequency: 66 hz, coarse = 6, fine = 209
frequency: 67 hz, coarse = 6, fine = 183
frequency: 68 hz, coarse = 6, fine = 158
frequency: 69 hz, coarse = 6, fine = 134
frequency: 70 hz, coarse = 6, fine = 110
frequency: 71 hz, coarse = 6, fine = 87
frequency: 72 hz, coarse = 6, fine = 64
frequency: 73 hz, coarse = 6, fine = 42
frequency: 74 hz, coarse = 6, fine = 21
frequency: 75 hz, coarse = 6, fine = 0
frequency: 76 hz, coarse = 5, fine = 236
frequency: 77 hz, coarse = 5, fine = 216
frequency: 78 hz, coarse = 5, fine = 197
frequency: 79 hz, coarse = 5, fine = 178
frequency: 80 hz, coarse = 5, fine = 160
frequency: 81 hz, coarse = 5, fine = 142
frequency: 82 hz, coarse = 5, fine = 125
frequency: 83 hz, coarse = 5, fine = 108
frequency: 84 hz, coarse = 5, fine = 91
frequency: 85 hz, coarse = 5, fine = 75
frequency: 86 hz, coarse = 5, fine = 60
frequency: 87 hz, coarse = 5, fine = 44
frequency: 88 hz, coarse = 5, fine = 29
frequency: 89 hz, coarse = 5, fine = 14
frequency: 90 hz, coarse = 5, fine = 0
frequency: 91 hz, coarse = 4, fine = 242
frequency: 92 hz, coarse = 4, fine = 228
frequency: 93 hz, coarse = 4, fine = 215
frequency: 94 hz, coarse = 4, fine = 202
frequency: 95 hz, coarse = 4, fine = 189
frequency: 96 hz, coarse = 4, fine = 176
frequency: 97 hz, coarse = 4, fine = 164
frequency: 98 hz, coarse = 4, fine = 152
frequency: 99 hz, coarse = 4, fine = 140
frequency: 100 hz, coarse = 4, fine = 128
frequency: 101 hz, coarse = 4, fine = 117
frequency: 102 hz, coarse = 4, fine = 105
frequency: 103 hz, coarse = 4, fine = 94
frequency: 104 hz, coarse = 4, fine = 84
frequency: 105 hz, coarse = 4, fine = 73
frequency: 106 hz, coarse = 4, fine = 63
frequency: 107 hz, coarse = 4, fine = 53
frequency: 108 hz, coarse = 4, fine = 43
frequency: 109 hz, coarse = 4, fine = 33
frequency: 110 hz, coarse = 4, fine = 23
frequency: 111 hz, coarse = 4, fine = 14
frequency: 112 hz, coarse = 4, fine = 5
frequency: 113 hz, coarse = 3, fine = 251
frequency: 114 hz, coarse = 3, fine = 243
frequency: 115 hz, coarse = 3, fine = 234
frequency: 116 hz, coarse = 3, fine = 225
frequency: 117 hz, coarse = 3, fine = 217
frequency: 118 hz, coarse = 3, fine = 208
frequency: 119 hz, coarse = 3, fine = 200
frequency: 120 hz, coarse = 3, fine = 192
